,Furnishing,Tenant Preferred,Car Parking,Availability,Carpet Area,Floor,facing,overlooking,Bathroom,Balcony,Super Area,Ownership,Owner Resides,Dimensions,Property_Type,Project_name,Price
0,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1050 sqft,1 out of 3,East,"Garden/Park, Main Road",3,1,,,,,"3 BHK Flat  for Rent in Hoskote, Bangalore",Confident Centaurus,"₹11,000"
1,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1500 sqft,25 out of 28,North - East,"Garden/Park, Pool",2,2,,,,,"3 BHK Flat  for Rent in Sena Vihar, Kammanahalli, Bangalore",Prestige North Point,"₹76,000"
2,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1450 sqft,Ground out of 19,North - East,Garden/Park,3,1,,,,,"3 BHK Flat  for Rent in Jakkur, Bangalore",Sobha HRC Pristine,"₹54,000"
3,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1377 sqft,6 out of 14,West,Main Road,3,2,,,,,"3 BHK Flat  for Rent in Hebbal, Bangalore",L and T Raintree Boulevard,"₹65,000"
4,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1100 sqft,12 out of 13,North,Garden/Park,2,1,,,,,"2 BHK Flat  for Rent in Tumkur Road, Bangalore",-,"₹14,000"
5,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1500 sqft,25 out of 28,North - East,"Garden/Park, Pool",3,2,,,,,"3 BHK Flat  for Rent in Sena Vihar, Kammanahalli, Bangalore",Prestige North Point,"₹75,000"
6,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1600 sqft,3 out of 4,East,Main Road,3,2,,,,,"3 BHK Flat  for Rent in Benson Town, Bangalore",-,"₹65,000"
7,Semi-Furnished,Bachelors,2 Covered,Immediately,,19 out of 19,East,"Garden/Park, Pool",3,2,2650 sqft,,,,"3 BHK Flat  for Rent in Hennur, Hennur Bagalur Road, Bangalore",Purva Palm Beach,"₹65,000"
8,Furnished,Bachelors,,Immediately,1687 sqft,14 out of 19,East,"Garden/Park, Pool, Main Road",3,1,,,,,"3 BHK Flat  for Rent in Hosakerehalli, Bangalore",-,"₹85,000"
9,Semi-Furnished,Bachelors,,Immediately,1000 sqft,1 out of 10,East,Garden/Park,2,2,,Freehold,,,3 BHK Flat  for Rent in  Bangalore,-,"₹30,000"
10,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,3200 sqft,10 out of 21,North - East,"Garden/Park, Pool, Main Road",4,2,,,,,"3 BHK Flat  for Rent in Hebbal, Bangalore",Embassy Lake Terraces,₹1.7 Lac 
11,Semi-Furnished,Bachelors/Family,,Immediately,3000 sqft,,East,"Garden/Park, Main Road, Pool",4,2,,,,,3 BHK Villa for Rent in Jakkur,Sobha Emerald Phase II,"₹65,000"
12,Furnished,Bachelors/Family,,Immediately,1100 sqft,Ground out of 1,,,1,,,,,,3 BHK  House for Rent in Padmanabha Nagar,-,"₹30,000"
13,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,,4 out of 4,North,Garden/Park,3,1,1740 sqft,,,,"3 BHK Flat  for Rent in Ecc Road, Whitefield, Bangalore",Prestige Palms,"₹45,000"
14,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,2050 sqft,21 out of 23,East,"Garden/Park, Pool, Main Road",3,2,,,,,"3 BHK Flat  for Rent in Malleshwaram, Bangalore",Sattva Luxuria,"₹80,000"
15,Semi-Furnished,Family,1 Covered,Immediately,,8 out of 11,East,Garden/Park,3,3,1915 sqft,,,,"3 BHK Flat  for Rent in Bannerghatta Main Road, Bangalore",Mantri Elite,"₹48,000"
16,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,2150 sqft,16 out of 18,East,"Garden/Park, Main Road",3,3,,,,,"3 BHK Flat  for Rent in Malleshwaram, Bangalore",-,"₹60,000"
17,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1550 sqft,5 out of 13,East,Garden/Park,3,2,,,,,"3 BHK Flat  for Rent in Yelenahalli, Bangalore",SNN Raj Serenity,"₹40,000"
18,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1285 sqft,3 out of 5,North,"Garden/Park, Pool, Main Road",2,2,,,,,"2 BHK Flat  for Rent in Dodda Nekkundi Extension, Kartik Nagar, Outer Ring Road, Bangalore",NCGRS VRR Heritage   ,"₹30,000"
19,Semi-Furnished,Bachelors,,Immediately,1800 sqft,2 out of 4,East,"Garden/Park, Pool",4,2,,,,,"3 BHK Flat  for Rent in Yelahanka, Bangalore",Prestige Garden Bay,"₹35,000"
20,Unfurnished,Family,2 Covered,Immediately,1450 sqft,,East,"Pool, Main Road",3,3,,Freehold,,,"3 BHK Flat  for Rent in Mahadevapura, Bangalore",Brigade Metropolis,"₹65,000"
21,Semi-Furnished,Bachelors,,Immediately,,5 out of 33,East,Garden/Park,3,1,1700 sqft,Freehold,,,"3 BHK Flat  for Rent in Thanisandra, Bangalore",Bhartiya City Nikoo Homes,"₹42,000"
22,Unfurnished,Family,1 Covered,Immediately,1583 sqft,10 out of 32,East,"Garden/Park, Pool, Main Road",3,1,,,,,"3 BHK Flat  for Rent in Konanakunte, Bangalore",-,"₹45,000"
23,Semi-Furnished,Bachelors,1 Covered,Immediately,,8 out of 28,,Pool,2,1,1216 sqft,Freehold,,,"2 BHK Flat  for Rent in whitefield, Bangalore",Prestige Lakeside Habitat,"₹48,000"
24,Semi-Furnished,Family,1 Covered,Immediately,1050 sqft,14 out of 32,East,Garden/Park,2,2,,,,,"2 BHK Flat  for Rent in Konanakunte, Bangalore",Prestige Falcon City,"₹42,000"
25,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,840 sqft,1 out of 4,North - West,,2,1,,,,,"2 BHK Flat  for Rent in Banaswadi, Bangalore",Oracle Residency,"₹20,000"
26,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1000 sqft,Ground out of 1,East,,2,,,,,,"2 BHK  House for Rent in Doddathoguru, Electronic City",-,"₹20,000"
27,Semi-Furnished,Bachelors,,Immediately,1300 sqft,4 out of 4,East,"Garden/Park, Main Road",2,1,,,,,"2 BHK Flat  for Rent in Hsr Layout Sector 5, HSR Layout, Bangalore",-,"₹37,000"
28,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1600 sqft,5 out of 20,West,Garden/Park,4,1,,,,,"3 BHK Flat  for Rent in Vajarahalli, Vajarahalli, Bangalore",Sobha Forest View,"₹25,000"
29,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,1900 sqft,15 out of 34,East,"Garden/Park, Pool",4,1,,,,,"3 BHK Flat  for Rent in Hebbal, Bangalore",Karle Zenith,"₹55,000"
30,Semi-Furnished,Bachelors,1 Covered,Immediately,1342 sqft,17 out of 19,North - East,Garden/Park,2,1,,,,,3 BHK Apartment for Rent in Electronic City,Prestige Sunrise Park Brichwood,"₹33,000"
31,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1600 sqft,14 out of 19,East,"Garden/Park, Pool, Main Road",3,2,,,,,"3 BHK Apartment for Rent in Ambalipura, Haralur",Puravankara Purva Skydale,"₹45,000"
32,Unfurnished,Bachelors/Family,,Immediately,1250 sqft,2 out of 3,East,"Garden/Park, Main Road",2,2,,Freehold,,,"2 BHK Builder Floor for Rent in Jaya Nagar Block 4, Jayanagar",-,"₹30,000"
33,Furnished,Bachelors/Family,2 Covered,Immediately,1800 sqft,30 out of 32,East,Garden/Park,3,2,,,,,"3 BHK Apartment for Rent in Ecc Road, Whitefield",Prestige Park View,"₹75,000"
34,Semi-Furnished,Bachelors,,Immediately,,2 out of 4,North,Main Road,3,2,2200 sqft,Freehold,,,"3 BHK Apartment for Rent in Jaya Nagar Block 4, Jayanagar",-,"₹55,000"
35,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1400 sqft,1 out of 3,South,"Garden/Park, Main Road",2,3,,,,,3 BHK Apartment for Rent in Malleshwaram,Renaissance Park I,"₹45,000"
36,Unfurnished,Bachelors/Family,,Immediately,,14 out of 25,North,"Garden/Park, Pool, Main Road",4,6,2800 sqft,Freehold,,,3 BHK Apartment for Rent in Hebbal,-,"₹55,000"
37,Semi-Furnished,Bachelors/Family,"2 Covered,",Immediately,,3 out of 4,South,Garden/Park,3,3,2630 sqft,,,,3 BHK Apartment for Rent in Halasuru,-,₹1.2 Lac 
38,Unfurnished,Bachelors/Family,,From Mar '23,,Ground out of 4,East,Main Road,2,2,1210 sqft,Freehold,,,2 BHK Apartment for Rent in Mahadevapura,Jayani Paradise,"₹35,000"
39,Furnished,Bachelors,,Immediately,2000 sqft,,North - East,Garden/Park,3,3,,Freehold,,,3 BHK Villa for Rent in Devanahalli,-,"₹65,000"
40,Semi-Furnished,Bachelors,1 Covered,Immediately,2000 sqft,3 out of 3,East,"Pool, Garden/Park, Main Road",3,3,,Freehold,,,3 BHK Apartment for Rent in whitefield,Prestige Silver Oak,"₹53,000"
41,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,3500 sqft,Lower Basement out of 4,,"Garden/Park, Main Road",3,3,,,,,3 BHK Apartment for Rent in Lavelle Road,Buckingham Gate,₹2.7 Lac 
42,Furnished,Family,1 Covered,From Mar '23,,16 out of 17,North,Garden/Park,3,2,1740 sqft,,,,"3 BHK Apartment for Rent in Ramagondanahalli-Whitefield, Whitefield",Brigade Cosmopolis,"₹78,000"
43,Semi-Furnished,Family,1 Covered,Immediately,1100 sqft,2 out of 5,East,"Garden/Park, Pool, Main Road",2,2,,,,,2 BHK Apartment for Rent in Hulimavu,Meenakshi Greens,"₹24,000"
44,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1400 sqft,6 out of 13,North,Garden/Park,3,2,,,,,"3 BHK Apartment for Rent in Banashankari Stage 6, Srinivaspura",Brigade Omega,"₹35,000"
45,Furnished,Bachelors/Family,1 Covered,Immediately,569 sqft,17 out of 26,North,Main Road,2,2,,,,,2 BHK Apartment for Rent in Thanisandra Main Road,Nikoo Homes,"₹27,000"
46,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1150 sqft,2 out of 4,North,"Garden/Park, Main Road",2,2,,,,,2 BHK Apartment for Rent in Sun City Layout,-,"₹20,000"
47,Unfurnished,Bachelors/Family,,Immediately,1050 sqft,1 out of 2,East,Main Road,2,2,,,,,2 BHK Apartment for Rent in Yelahanka,-,"₹25,000"
48,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1700 sqft,5 out of 12,East,"Main Road, Garden/Park, Pool",3,3,,,,,3 BHK Apartment for Rent in Thanisandra Main Road,RR Signature,"₹40,000"
49,Unfurnished,Bachelors,,Immediately,3400 sqft,1 out of 6,North,"Garden/Park, Pool, Main Road",4,4,,Freehold,,,3 BHK Builder Floor for Rent in indiranagar defence colony,-,₹2 Lac 
50,Furnished,Bachelors/Family,1 Covered,Immediately,1300 sqft,Ground out of 4,North - East,Main Road,2,2,,,,,2 BHK Apartment for Rent in Benson Town,Benson Manor,"₹40,000"
51,Semi-Furnished,Family,1 Covered,Immediately,1560 sqft,11 out of 13,South -West,Pool,3,2,,,,,3 BHK Apartment for Rent in Banashankari 6th Stage 2nd Block,Brigade Omega,"₹30,000"
52,Unfurnished,Bachelors,,Immediately,1500 sqft,4 out of 8,East,"Garden/Park, Main Road",3,2,,Freehold,,,3 BHK Apartment for Rent in Malleshwaram,Renaissance Park III,"₹40,000"
53,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1374 sqft,11 out of 12,East,Garden/Park,3,2,,,,,"3 BHK Apartment for Rent in Bellandur, Outer Ring Road",-,"₹80,000"
54,Semi-Furnished,Family,1 Open,Immediately,1600 sqft,Ground out of 2,North,,3,,,,Same Premise,40 X 60 ft Sqft,"3 BHK  House for Rent in Jaya Nagar Block 5, Jayanagar",-,"₹42,000"
55,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1780 sqft,2 out of 4,North,Garden/Park,4,2,,,,,3 BHK Apartment for Rent in Sarjapur Road,Vaswani Astoria,"₹70,000"
56,Semi-Furnished,Bachelors/Family,1 Covered,From Feb '23,,3 out of 14,North,Garden/Park,2,2,1350 sqft,,,,2 BHK Apartment for Rent in Kasavanahalli,HM Symphony,"₹37,000"
57,Semi-Furnished,Bachelors/Family,,Immediately,2100 sqft,5 out of 12,West,"Pool, Garden/Park",3,3,,Freehold,,,3 BHK Apartment for Rent in whitefield,Parimala Skyview,"₹52,000"
58,Semi-Furnished,Bachelors/Family,,Immediately,1218 sqft,3 out of 20,,,2,2,,,,,3 BHK Apartment for Rent in Hebbal,Mantri Manyata Lithos,"₹45,000"
59,Unfurnished,Bachelors,,Immediately,2200 sqft,9 out of 18,North - East,"Garden/Park, Pool, Main Road",3,3,,,,,3 BHK Apartment for Rent in whitefield,Prestige Shantiniketan,"₹85,000"
60,Semi-Furnished,Bachelors/Family,,Immediately,,5 out of 14,South,"Pool, Garden/Park",3,2,2777 sqft,Freehold,,,3 BHK Apartment for Rent in Banashankari,Prestige South Ridge,"₹60,000"
61,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,,,,"Garden/Park, Pool, Main Road",3,1,2400 sqft,,,60 X 30 ft Sqft,"3 BHK Villa for Rent in Hennur, Hennur Bagalur Road",Prestige Augusta Golf Village 1,"₹60,000"
62,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1550 sqft,6 out of 11,North,Main Road,3,3,,Freehold,,,3 BHK Apartment for Rent in Old Madras Road,-,"₹43,000"
63,Semi-Furnished,Family,1 Covered,Immediately,1180 sqft,18 out of 25,East,Garden/Park,3,2,,,,,3 BHK Apartment for Rent in Gottigere,Prestige Park Square ,"₹45,000"
64,Furnished,Bachelors/Family,2 Covered,Immediately,1910 sqft,17 out of 34,North,"Garden/Park, Pool",4,1,,,,,3 BHK Apartment for Rent in Hebbal,Karle Zenith,₹1.2 Lac 
65,Unfurnished,Bachelors/Family,,Immediately,1608 sqft,1 out of 7,North,Garden/Park,3,2,,Freehold,,,3 BHK Apartment for Rent in Koramangala,Raheja Residency,"₹70,000"
66,Semi-Furnished,Family,1 Covered,From Feb '23,1400 sqft,2 out of 8,East,Garden/Park,3,1,,,,,3 BHK Apartment for Rent in Sarjapur Road,Vizipa Optima,"₹55,000"
67,Semi-Furnished,Bachelors,,Immediately,,12 out of 15,East,Garden/Park,2,1,1303 sqft,Freehold,,,2 BHK Apartment for Rent in Haralur Main Road,Prestige Ferns Residency,"₹45,000"
68,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1000 sqft,24 out of 27,North,,2,1,,,,,"2 BHK Apartment for Rent in Himagiri Meadows, Gottigere, bannerghatta main Road",Prestige Park Square ,"₹50,000"
69,Furnished,Bachelors/Family,1 Covered,Immediately,2300 sqft,Ground out of 3,East,Main Road,3,1,,,,80 X 50 ft Sqft,"3 BHK  House for Rent in Btm Layout Stage 2, BTM Layout",-,"₹75,000"
70,Furnished,Family,1 Covered,Immediately,1500 sqft,1 out of 1,North,"Garden/Park, Pool, Main Road",3,2,,,,,"3 BHK Apartment for Rent in Horamavu Agara, Hormavu",Bijith Bhavan Apartments,"₹31,000"
71,Semi-Furnished,Bachelors/Family,,Immediately,1100 sqft,3 out of 5,,,2,1,,,,,2 BHK Apartment for Rent in Hsr Layout,-,"₹25,000"
72,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,1800 sqft,8 out of 14,East,"Pool, Garden/Park, Main Road",3,3,,Freehold,,,3 BHK Apartment for Rent in whitefield,Parimala Skyview,"₹54,000"
73,Semi-Furnished,Family,1 Covered,Immediately,1120 sqft,13 out of 14,West,Garden/Park,2,1,,,,,2 BHK Apartment for Rent in Koramangala Block 1,Prestige Pinewood,"₹80,000"
74,Unfurnished,Bachelors/Family,1 Covered,From Feb '23,1100 sqft,7 out of 20,West,"Garden/Park, Pool",2,3,,,,,"2 BHK Apartment for Rent in Arakere Mico Layout, Arakere",South City,"₹26,000"
75,Semi-Furnished,Family,1 Covered,Immediately,1850 sqft,5 out of 6,West,"Garden/Park, Main Road",3,1,,,,,"3 BHK Apartment for Rent in Arakere Mico Layout, Arakere",Bren Luxuria,"₹40,000"
76,Semi-Furnished,Bachelors/Family,,Immediately,1000 sqft,9 out of 16,East,"Garden/Park, Main Road",2,1,,Freehold,,,2 BHK Apartment for Rent in whitefield,-,"₹40,000"
77,Furnished,Bachelors/Family,"1 Covered,",Immediately,1500 sqft,4 out of 16,East,"Garden/Park, Main Road",2,1,,,,,2 BHK Apartment for Rent in Varthur,Unicca Emporis,"₹45,000"
78,Unfurnished,Bachelors,,Immediately,1650 sqft,19 out of 19,East,"Garden/Park, Main Road",3,3,,Freehold,,,3 BHK Penthouse for Rent in Hennur Main Road,-,"₹65,000"
79,Unfurnished,Bachelors,,Immediately,,3 out of 4,North,,2,1,800 sqft,,,,"2 BHK Builder Floor for Rent in Jp Nagar Phase 5, J P Nagar, Outer Ring Road",-,"₹20,000"
80,Semi-Furnished,Family,1 Covered,From Feb '23,,12 out of 14,East,Garden/Park,4,2,2206 sqft,,,,3 BHK Apartment for Rent in Haralur Main Road,Sobha Eternia,"₹70,000"
81,Semi-Furnished,Family,2 Covered,Immediately,1500 sqft,8 out of 15,East,Garden/Park,3,2,,Freehold,,,3 BHK Apartment for Rent in Haralur Main Road,Prestige Ferns Residency,"₹65,000"
82,Semi-Furnished,Bachelors,,Immediately,750 sqft,,North,"Garden/Park, Main Road",2,1,,,,,"2 BHK  House for Rent in Hsr Layout Sector 2, HSR Layout",-,"₹24,000"
83,Semi-Furnished,Bachelors,,Immediately,1600 sqft,Ground out of 4,,Main Road,3,2,,,,,3 BHK Apartment for Rent in Kodichikknahalli,-,"₹28,000"
84,Unfurnished,Bachelors,,Immediately,,10 out of 10,East,"Garden/Park, Pool, Main Road",3,1,1562 sqft,,,,3 BHK Apartment for Rent in K R Puram,-,"₹45,000"
85,Unfurnished,Bachelors,,Immediately,635 sqft,1 out of 4,North,Main Road,1,1,,Freehold,,,"1 BHK Builder Floor for Rent in Hsr Layout Sector 2, HSR Layout",-,"₹21,000"
86,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1100 sqft,1 out of 3,East,Main Road,2,2,,,,,"2 BHK Builder Floor for Rent in Mahalakshmipuram Layout, Mahalakshmipuram",-,"₹24,000"
87,Semi-Furnished,Bachelors,1 Covered,Immediately,1600 sqft,3 out of 5,East,"Garden/Park, Pool",3,2,,,,,3 BHK Apartment for Rent in Mahadevapura,Flushing Meadows Apartments,"₹45,000"
88,Unfurnished,Bachelors,,Immediately,1250 sqft,Ground out of 4,South,"Garden/Park, Pool, Main Road",2,1,,,,,2 BHK Apartment for Rent in Marathahalli,-,"₹45,000"
89,Semi-Furnished,Bachelors,1 Covered,Immediately,1100 sqft,7 out of 7,West,Garden/Park,2,1,,,,,2 BHK Apartment for Rent in Devanahalli,Hiranandani Apartment,"₹17,000"
90,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1450 sqft,4 out of 4,North - West,"Garden/Park, Main Road",3,2,,,,,3 BHK Apartment for Rent in whitefield,Brigade Woods,"₹72,000"
91,Furnished,Bachelors/Family,,From Feb '23,,3 out of 3,,Main Road,2,3,2500 sqft,,,,2 BHK Apartment for Rent in Indira Nagar,-,₹1.2 Lac 
92,Furnished,Bachelors/Family,,Immediately,575 sqft,Ground out of 5,,Main Road,1,,,,,,"1 BHK Apartment for Rent in Hal Stage 2, Indira nagar",-,"₹24,000"
93,Unfurnished,Bachelors,2 Covered,Immediately,2700 sqft,,East,Pool,3,2,,Freehold,,30 X 40 ft Sqft,3 BHK Villa for Rent in Electronic City,Concorde Silicon Valley,"₹40,000"
94,Furnished,Family,,Immediately,1450 sqft,2 out of 2,North - East,"Garden/Park, Main Road",3,1,,,,,3 BHK Apartment for Rent in Sarjapur Road,Puravankara Purva Skywood,"₹50,000"
95,Unfurnished,Bachelors,,Immediately,696 sqft,5 out of 11,East,"Garden/Park, Pool, Main Road",2,2,,,,,2 BHK Apartment for Rent in Old Madras Road,-,"₹23,000"
96,Unfurnished,Bachelors,1 Open,Immediately,1230 sqft,2 out of 5,North,"Garden/Park, Main Road",2,1,,,,,"2 BHK Apartment for Rent in Hsr Layout Sector 5, HSR Layout",-,"₹42,000"
97,Semi-Furnished,Family,1 Covered,Immediately,1600 sqft,6 out of 16,North,Garden/Park,3,1,,,,,3 BHK Apartment for Rent in whitefield,Divyasree Republic of Whitefield,"₹50,000"
98,Unfurnished,Bachelors,,Immediately,1600 sqft,1 out of 4,North,Garden/Park,3,1,,Freehold,,,3 BHK Builder Floor for Rent in Koramangala,-,"₹48,000"
99,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,,1 out of 1,,Garden/Park,2,1,1273 sqft,,,,2 BHK Apartment for Rent in Doddaballapur Main Road,Prestige Royale Gardens,"₹30,000"
100,Semi-Furnished,Bachelors,,Immediately,650 sqft,1 out of 14,North,Garden/Park,1,1,,,,,1 BHK Apartment for Rent in Panathur,Sobha Dream Acres,"₹32,000"
101,Semi-Furnished,Family,1 Covered,Immediately,1100 sqft,1 out of 4,East,,2,2,,,,,2 BHK Builder Floor for Rent in Seegehalli,-,"₹21,000"
102,Furnished,Bachelors,1 Covered,Immediately,,4 out of 8,East,Garden/Park,3,2,1600 sqft,,,,3 BHK Apartment for Rent in Gunjur,DSR White Waters Phase 3,"₹65,000"
103,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1200 sqft,3 out of 5,,"Garden/Park, Pool, Main Road",3,3,,,,,"3 BHK Apartment for Rent in Arakere Mico Layout, Arakere",SJR LUXURIA,"₹37,000"
104,Furnished,Bachelors,,Immediately,1455 sqft,9 out of 16,East,Garden/Park,2,2,,Freehold,,,3 BHK Apartment for Rent in Marathahalli,Durga Petals,"₹70,000"
105,Furnished,Bachelors/Family,2 Covered,Immediately,2026 sqft,14 out of 20,East,"Garden/Park, Pool",3,1,,,,,3 BHK Apartment for Rent in Kadugodi,Prestige Park View,"₹80,000"
106,Semi-Furnished,Family,"1 Covered,",Immediately,2080 sqft,1 out of 5,East,Garden/Park,3,1,,,,,"3 BHK Apartment for Rent in Jaya Nagar Block 5, Jayanagar",-,"₹70,000"
107,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,520 sqft,Ground out of 19,North - East,Garden/Park,1,1,,,,,"1 BHK Apartment for Rent in Electronics City Phase 1, Electronic City",Prestige Norwood,"₹21,000"
108,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,980 sqft,18 out of 19,East,Garden/Park,2,1,,,,,2 BHK Apartment for Rent in Kanakapura Road,Sobha Arena,"₹32,000"
109,Semi-Furnished,Bachelors/Family,,Immediately,1703 sqft,12 out of 14,North,Garden/Park,2,3,,Freehold,,,3 BHK Apartment for Rent in Old Madras Road,-,"₹48,000"
110,Unfurnished,Family,,Immediately,1300 sqft,8 out of 13,North - West,"Garden/Park, Pool, Main Road",3,2,,,,,"3 BHK Apartment for Rent in Epip Zone, Whitefield",-,"₹60,000"
111,Furnished,Bachelors,,Immediately,1850 sqft,5 out of 30,North,"Pool, Garden/Park, Main Road",3,3,,,,,3 BHK Apartment for Rent in Konanakunte,-,"₹50,000"
112,Semi-Furnished,Family,1 Covered,From Feb '23,1500 sqft,31 out of 32,East,Garden/Park,3,2,,,,,"3 BHK Apartment for Rent in Doddakallasandra, Konanakunte",Prestige Falcon City,"₹46,000"
113,Semi-Furnished,Bachelors/Family,,From Feb '23,1140 sqft,Ground out of 5,North - East,Garden/Park,2,1,,,,,2 BHK Apartment for Rent in Brooke Field,Shriram Spurthi,"₹32,000"
114,Semi-Furnished,Bachelors,,Immediately,2500 sqft,,East,Garden/Park,3,1,,Freehold,,,3 BHK Villa for Rent in Sarjapur Road,Ferns Rainbow Drive,"₹65,000"
115,Semi-Furnished,Bachelors,"1 Covered,",Immediately,1600 sqft,1 out of 8,East,Garden/Park,3,2,,,,,3 BHK Apartment for Rent in Devanahalli,-,"₹21,000"
116,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,,3 out of 4,East,Garden/Park,2,1,966 sqft,,,,2 BHK Apartment for Rent in Jakkur,Brigade Bricklane,"₹27,000"
117,Semi-Furnished,Bachelors,,Immediately,2668 sqft,5 out of 8,East,Main Road,3,1,,Freehold,,,3 BHK Apartment for Rent in Basavanagudi,Manhattan Apartments,"₹80,000"
118,Semi-Furnished,Bachelors,,Immediately,2845 sqft,4 out of 5,East,"Garden/Park, Main Road",3,4,,Freehold,,,3 BHK Apartment for Rent in C V Raman Nagar,-,"₹45,000"
119,Semi-Furnished,Bachelors,,Immediately,1800 sqft,,East,Main Road,3,3,,,,,3 BHK  House for Rent in Koramangala,-,₹1.5 Lac 
120,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,1110 sqft,13 out of 14,North,"Garden/Park, Pool, Main Road",2,2,,,,,3 BHK Apartment for Rent in Tumkur Road,Sobha SOBHA RUBY,"₹35,000"
121,Furnished,Bachelors,1 Covered,Immediately,1500 sqft,4 out of 12,East,,3,2,,,,,3 BHK Apartment for Rent in whitefield,Sumadhura Silver Ripples,"₹68,000"
122,Semi-Furnished,Bachelors,,Immediately,1800 sqft,5 out of 7,East,Garden/Park,3,2,,Freehold,,,"3 BHK Apartment for Rent in Domlur, Domlur",natasha golf view apartments,"₹61,000"
123,Unfurnished,Bachelors,,Immediately,2350 sqft,12 out of 21,North,"Garden/Park, Main Road",3,,,,,,3 BHK Apartment for Rent in whitefield,Vaswani Exquisite,"₹80,000"
124,Semi-Furnished,Bachelors/Family,1 Covered,From Apr '23,1000 sqft,Lower Basement out of 4,North,Pool,2,2,,,,,2 BHK Apartment for Rent in K R Puram,LVS Excellency,"₹25,000"
125,Semi-Furnished,Bachelors,,Immediately,1255 sqft,2 out of 8,North,Garden/Park,2,2,,Freehold,,,3 BHK Apartment for Rent in purva panorama,-,"₹28,000"
126,Semi-Furnished,Family,1 Covered,Immediately,912 sqft,2 out of 13,North,"Garden/Park, Main Road",2,1,,,,,2 BHK Apartment for Rent in Panathur,Sobha Dream Acres,"₹42,000"
127,Semi-Furnished,Bachelors,"1 Covered,",Immediately,1800 sqft,3 out of 6,East,"Garden/Park, Main Road",2,1,,,,,"3 BHK Apartment for Rent in A Narayanapura, Mahadevapura",Sai Krupa Apartments,"₹30,000"
128,Furnished,Bachelors,1 Covered,From Feb '23,,3 out of 5,East,Main Road,3,2,1725 sqft,,,,3 BHK Apartment for Rent in Marathahalli,Aishwarya Opulence Apartments,"₹60,000"
129,Semi-Furnished,Family,2 Covered,Immediately,2200 sqft,3 out of 3,West,Main Road,3,3,,,,,"3 BHK Apartment for Rent in Defence Colony-Indira Nagar, Indira nagar",Defence Colony,₹1.4 Lac 
130,Furnished,Bachelors/Family,1 Covered,Immediately,,5 out of 13,West,"Garden/Park, Main Road",2,1,1330 sqft,,,,2 BHK Apartment for Rent in whitefield,Brigade Lakefront,"₹50,000"
131,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1250 sqft,2 out of 5,North - East,Main Road,2,1,,,,,2 BHK Apartment for Rent in J P Nagar,-,"₹25,000"
132,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1233 sqft,4 out of 33,North,"Garden/Park, Main Road",3,1,,,,,3 BHK Apartment for Rent in Thanisandra Main Road,Bhartiya City Nikoo Homes Phase 2,"₹38,000"
133,Semi-Furnished,Bachelors/Family,,Immediately,500 sqft,,,,1,1,,,,,1 BHK  House for Rent in btm layout 1st stage,-,"₹12,500"
134,Furnished,Bachelors/Family,1 Open,Immediately,,Ground out of 3,East,Main Road,1,,400 sqft,,,,1 BHK Builder Floor for Rent in Harlur,Reliable Lifestyle,"₹12,500"
135,Unfurnished,Bachelors,,Immediately,1850 sqft,8 out of 14,North,Garden/Park,3,1,,,,,3 BHK Apartment for Rent in J P Nagar,Brigade PalmSprings,"₹40,000"
