,Furnishing,Tenant Preferred,Car Parking,Availability,Carpet Area,Floor,facing,overlooking,Bathroom,Balcony,Super Area,Ownership,Owner Resides,Dimensions,Property_Type,Project_name,Price
1421,Unfurnished,Bachelors/Family,,From Feb '23,,Ground out of 2,,,3,,1200 sqft,,,,3 BHK  House for Rent in Rajarajeshwari Nagar,-,"₹30,000"
1422,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 3,,,2,,800 sqft,,,,2 BHK Builder Floor for Rent in Halasuru,-,"₹20,000"
1423,Semi-Furnished,Family,1 Covered,Immediately,,1 out of 3,North,,2,1,1205 sqft,,Same Premise,,2 BHK Builder Floor for Rent in Kalyan Nagar,-,"₹30,000"
1424,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 4,,,2,,1500 sqft,,,,"3 BHK Builder Floor for Rent in Kattigenahalli, Bellary Road",-,"₹14,000"
1425,Semi-Furnished,Bachelors/Family,,From Feb '23,,3 out of 5,,,2,,680 sqft,,,,2 BHK Builder Floor for Rent in Electronic City,-,"₹11,000"
1426,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 3,,,1,,320 sqft,,,,1 BHK  House for Rent in Anantapura,-,"₹7,500"
1427,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 4,,,2,,600 sqft,,,,2 BHK Builder Floor for Rent in K C Krishna Reddy Layout,-,"₹14,000"
1428,Furnished,Bachelors/Family,,Immediately,,3 out of 4,,,2,,600 sqft,,,,2 BHK Builder Floor for Rent in Attiguppe,-,"₹14,000"
1429,Unfurnished,Bachelors/Family,,Immediately,,1 out of 3,,,1,,400 sqft,,,,1 BHK Builder Floor for Rent in Kamala Nagar,-,"₹4,500"
1430,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 5,,,1,,550 sqft,,,,1 BHK Builder Floor for Rent in Mathikere,-,"₹8,000"
1431,Unfurnished,Bachelors/Family,,Immediately,,1 out of 3,,,2,,1100 sqft,,,,2 BHK  House for Rent in Rajajinagar,-,"₹15,000"
1432,Unfurnished,Bachelors/Family,,Immediately,,2 out of 5,,,1,,400 sqft,,,,1 BHK  House for Rent in Hongasandra,-,"₹8,000"
1433,Semi-Furnished,Bachelors/Family,,From Jan '23,,1 out of 3,,,2,,650 sqft,,,,2 BHK  House for Rent in Chikkalasandra,-,"₹14,000"
1434,Unfurnished,Bachelors/Family,,Immediately,,1 out of 6,,,1,,500 sqft,,,,2 BHK Apartment for Rent in Shivaji Nagar,-,"₹13,000"
1435,Semi-Furnished,Bachelors/Family,,From Feb '23,,Ground out of 3,,,1,,700 sqft,,,,1 BHK Builder Floor for Rent in Central Telecom Society,-,"₹12,000"
1436,Semi-Furnished,Bachelors/Family,,From Feb '23,,2 out of 3,,,1,,550 sqft,,,,1 BHK  House for Rent in Yelahanka,-,"₹7,000"
1437,Unfurnished,Bachelors/Family,,Immediately,,2 out of 3,,,1,,400 sqft,,,,1 BHK  House for Rent in Arakere,-,"₹8,000"
1438,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 4,,,2,,600 sqft,,,,"2 BHK  House for Rent in Sadduguntepalya, Hosur road",-,"₹14,000"
1439,Unfurnished,Bachelors/Family,,Immediately,,1 out of 2,,,2,,800 sqft,,,,2 BHK  House for Rent in Srinivaspura,-,"₹12,000"
1440,Unfurnished,Bachelors/Family,,From Feb '23,,3 out of 4,,,1,,400 sqft,,,,1 BHK  House for Rent in Malleshwaram,-,"₹4,500"
1441,Unfurnished,Bachelors/Family,,Immediately,,1 out of 3,,,2,,1200 sqft,,,,2 BHK  House for Rent in Bagalakunte,-,"₹10,000"
1442,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 4,,,2,,600 sqft,,,,2 BHK  House for Rent in Nri Layout,-,"₹10,000"
1443,Unfurnished,Bachelors/Family,,Immediately,,2 out of 3,,,1,,700 sqft,,,,2 BHK Builder Floor for Rent in T Dasarahalli,-,"₹8,500"
1444,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 3,,,2,,1000 sqft,,,,"2 BHK  House for Rent in Gruha Lakshmi Layout, Kamala Nagar",-,"₹15,000"
1445,Unfurnished,Bachelors/Family,,From Feb '23,,1 out of 4,,,1,,400 sqft,,,,1 BHK Builder Floor for Rent in Wilson Garden,-,"₹8,000"
1446,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 2,,,2,,1600 sqft,,,,3 BHK  House for Rent in Banashankari,-,"₹40,000"
